site_id,site,state,status,operator,anchor_tenant,headline_mw,capital_cost_aud,construction_jobs,operational_jobs,primary_source,publisher,source_url,fact_status,confidence,as_of_date,n_applications,n_community_events,n_regulatory_events,n_instruments
SITE_MELTON_SYNCLINE,Syncline Energy Melton data centre hub (proposed),VIC,lodged,Syncline Energy,,,,,,City of Melton statement on data centre commentary,City of Melton,https://www.facebook.com/cityofmelton/posts/1467894358701853/,REPORTED,medium,2026-09-18,0,2,0,0
SITE_SOUTH_MORANG,"South Morang data centre (approved, ~A$1bn)",VIC,approved,,,,,,,City of Melton statement on data centre commentary,City of Melton,https://www.facebook.com/cityofmelton/posts/1467894358701853/,CLAIMED,low,2026-08-01,0,1,0,0
SITE_WESTERN_DOWNS,Western Downs Digital Park,QLD,lodged,,Anthropic,2160.0,31900000000.0,1500,,Western Downs Digital Park - Town Planning Report (lodged development application),"Urbis, for WDDP Pty Ltd; lodged with Western Downs Regional Council",https://wdrcdevelopmenti.blob.core.windows.net/devdocs/6393206_1.pdf,VERIFIED,high,2026-09-18,1,0,0,0
SITE_CDC_CANBERRA,"CDC Canberra (Fyshwick F1-F2, Hume H1-H5)",ACT,operational,CDC Data Centres,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_MACQ_FAIRBAIRN,Macquarie IC4 / IC5 Fairbairn (ACT),ACT,operational,Macquarie Technology Group,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_C1,NEXTDC C1 Canberra,ACT,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_EQUINIX_CA1,Equinix CA1 Canberra,ACT,operational,Equinix,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_TELSTRA_DEAKIN,Telstra Deakin Strategic Enclave (ACT),ACT,operational,Telstra,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_P12,NEXTDC P1 / P2 Perth,WA,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_EQUINIX_PER,"Equinix Perth (PE2, PE3)",WA,operational,Equinix,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_WA_1GW,Proposed ~1 GW WA renewable-powered data centre,WA,rumoured,,,1000.0,,,,WA plans for a gigawatt-scale data centre powered by renewable energy,6PR NewsTalk / state reporting (aggregated),https://www.facebook.com/NewsTalk6PR/posts/1755763385699593/,CLAIMED,low,2026-09-01,0,0,0,0
SITE_NEXTDC_A1,NEXTDC A1 Adelaide,SA,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_NEXTDC_D1,NEXTDC D1 Darwin,NT,operational,NEXTDC,,,,,,Top Data Centres in Australia: 2026 Directory and Market Overview,CertifiedStrategic.com,https://certifiedstrategic.com/insights/top-data-centres-in-australia-2026-directory-and-market-overview,REPORTED,medium,2026-09-18,0,0,0,0
SITE_MS_AU_FLEET,"Microsoft Australia datacentre fleet (29 sites, 3 Azure regions)",Multi,operational,Microsoft,,,,,,"Microsoft deepens commitment to Australia with A$25 billion investment in AI infrastructure, security, and skills",Microsoft Source Asia,https://news.microsoft.com/source/asia/features/investing-in-australias-ai-future/,CLAIMED,high,2026-04-23,0,0,0,0
SITE_AWS_AU_FLEET,"AWS Australia (Sydney and Melbourne regions, 2025-29 build)",Multi,under_construction,Amazon Web Services,,,,,,Amazon will invest AU$20 billion in data center infrastructure in Australia by 2029,Amazon / aboutamazon.com,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia,CLAIMED,high,2025-06-14,0,0,0,0
SITE_MSFT_KEMPS,Microsoft Kemps Creek Data Centre Campus,NSW,operational,Microsoft,,190.0,1300000000.0,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,2,0,0,0
SITE_MSFT_HONEMAN,Honeman Close Data Centre,NSW,lodged,Microsoft Datacentre (Australia) Pty Ltd,,96.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_GLENDENNING,Glendenning Road Data Centre,NSW,approved,,,235.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,2,2,3,3
SITE_NEXTDC_S4,NEXTDC S4 Data Centre Horsley Park,NSW,approved,NEXTDC,,294.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_NEXTDC_S5,NEXTDC S5 Data Centre and Innovation Hub,NSW,lodged,NEXTDC,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_STACK_LOCKWOOD,STACK 78 Lockwood Road Data Centre,NSW,lodged,STACK Infrastructure Australia Pty Ltd,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_STOCKLAND_DAVIS,Stockland 2 Davis Road Data Centre,NSW,lodged,Stockland,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_STOCKLAND_FIFE,Stockland Fife Kemps Creek Data Centre,NSW,lodged,Stockland,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_STOCKLAND_PROJA,Stockland 'Project A' Data Centre,NSW,lodged,Stockland,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_AIMS_BELLA,AIMS Bella Vista Data Centre Campus,NSW,lodged,AIMS Capital Management Ltd,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_GOODMAN_ATLAS,Project Atlas Data Centre Eastern Creek,NSW,lodged,Goodman Property Services (Aust) Pty Ltd,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_GSDC_SYD1S2,GreenSquare DC SYD1 (Stage 2),NSW,lodged,GreenSquare DC Pty Ltd,,,,,,"NSW Government backs data centre investment, sets course for sustainable development (ministerial media release, 27 March 2026)","NSW Government - Treasurer, Minister for Industry and Trade, Minister for Planning and Public Spaces",https://www.nsw.gov.au/ministerial-releases/data-centre-investment-sustainable-development,VERIFIED,medium,2026-09-18,0,0,0,0
SITE_LANE_COVE_MARS,Mars Road Data Centre,NSW,pre_lodgement,Lane Cove DC Alliance,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_ECHIDNA,Project Echidna Data Centre Eastern Creek,NSW,approved,,,35.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_TURNER_RD,52 Turner Road Data Centre,NSW,withdrawn,,,40.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_PLUMPTON_HUB,Victorian AI Hub (Plumpton),VIC,pre_lodgement,Syncline Energy,,2400.0,,,,Mega datacentre planned for outer Melbourne will be six times bigger than a large shopping centre,The Guardian Australia,https://www.theguardian.com/australia-news/2026/jul/26/mega-datacentre-planned-for-outer-melbourne-will-be-almost-six-times-the-size-of-chadstone-shopping-centre,REPORTED,medium,2026-09-18,0,1,0,0
SITE_PROJECT_DUKE,Project Duke Data Centre,NSW,approved,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_51_HUNTINGWOOD,51 Huntingwood Drive Data Centre,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_AUGUSTA_ST,Augusta Street Data Centre,NSW,withdrawn,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_EC_EXPANSION,Eastern Creek Data Centre Expansion Project,NSW,approved,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_ROBERTS_RD,Roberts Road Data Centre,NSW,approved,CDC Data Centres,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_STATION_RD,Station Road Data Centre Expansion,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_43_61_TURNER,43-61 Turner Road Data Centre,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_KURRI_KURRI,"Kurri Kurri Data Centre (Loxford, former aluminium smelter site)",NSW,pre_lodgement,,,540.0,,,,Aluminum smelter site in Australia targeted for 540MW data center development,Data Center Dynamics (Dan Swinhoe),https://www.datacenterdynamics.com/en/news/aluminum-smelter-site-in-australia-targeted-for-540mw-data-center-development/,VERIFIED,high,2026-09-18,1,0,0,0
SITE_GRAND_AVE,"Grand Avenue Data Centre Expansion, Rosehill",NSW,approved,Equinix,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_KHARTOUM,1-5 Khartoum Road Data Centre,NSW,approved,,,35.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_23_25_WATERLOO,23-25 Waterloo Road Data Centre,NSW,pre_lodgement,,,70.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_JULIUS_AVE,Julius Avenue Data Centre,NSW,lodged,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_MACQUARIE_PARK_DC,Macquarie Park Data Centre,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_PROJECT_APOLLO,Project Apollo Data Centre Macquarie Park,NSW,approved,Goodman Property Services (Aust) Pty Ltd,,135.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,1,0
SITE_ROAD_1,Road 1 Data Centre,NSW,lodged,,,34.3,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_TALAVERA,Talavera Road Data Centre Campus Expansion,NSW,approved,Macquarie Technology Group,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_WATERLOO_ESR,Waterloo Road Data Centre (ESR Developments),NSW,approved,,,,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_ORIORDAN,"22 O'Riordan Street, Alexandria - Data Centre",NSW,pre_lodgement,,,38.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_DIGICO_SYD1,DigiCo SYD1 Data Centre Expansion,NSW,approved,,,,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_PROJECT_PLUTO,Project Pluto Data Centre,NSW,approved,,,126.0,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_DAVIS_RD_CUNDALL,Davis Road Data Centre (Cundall),NSW,approved,,,180.0,,,,Signed development consents for determined NSW data centre State Significant Developments (bulk harvest of 20 documents),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
SITE_NEXTDC_S4_P2,"NEXTDC S4 Data Centre Phase 2, Horsley Park",NSW,pre_lodgement,NEXTDC,,134.4,,,,NSW Planning Portal major projects register - data centre State Significant Development records (46 projects harvested),"NSW Department of Planning, Housing and Infrastructure",https://www.planningportal.nsw.gov.au/major-projects/search?field_case_type_value=State+Significant+Development&combine=Data+Centre,VERIFIED,high,2026-09-18,1,0,0,0
