id,site_id,jurisdiction,pathway,reference,lodged,decided,outcome,decision_maker,capacity_mw_in_app,conditions_summary,appeal_status,notes,fact_status,source_id,confidence,as_of_date
17,SITE_GOODMAN_ATLAS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-101067971,,,under_assessment,,,,,"Portal stage at harvest: Response to Submissions. Development type Data Storage, industry classification Water and Telecommunications. 125 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
18,SITE_ECHIDNA,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-47320208,,2024-04-05,approved,Executive Director,35.0,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 114 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
19,SITE_ROBERTS_RD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-10330,,2020-07-14,approved,Executive Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 123 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
20,SITE_STATION_RD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-33781208,,2022-12-16,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 120 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
21,SITE_43_61_TURNER,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-68013714,,2025-11-21,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 94 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
22,SITE_TURNER_RD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-60185233,,,withdrawn,,40.0,,,"Portal stage at harvest: Withdrawn. Development type Data Storage, industry classification Water and Telecommunications. 5 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
23,SITE_KURRI_KURRI,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-128819490,,,under_assessment,,,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 83 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
24,SITE_GRAND_AVE,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-53338465,,2024-12-16,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 147 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
25,SITE_KHARTOUM,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-63235720,,2026-03-11,approved,Director,35.0,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 142 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
26,SITE_23_25_WATERLOO,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-91297457,,,under_assessment,,70.0,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 111 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
27,SITE_JULIUS_AVE,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-80018208,,,under_assessment,,,,,"Portal stage at harvest: Assessment. Development type Data Storage, industry classification Water and Telecommunications. 212 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
28,SITE_MACQUARIE_PARK_DC,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-10467,,2021-05-28,approved,Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 95 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
29,SITE_NEXTDC_S5,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-63168959,,,under_assessment,,,,,"Portal stage at harvest: Assessment. Development type Data Storage, industry classification Water and Telecommunications. 253 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
30,SITE_PROJECT_APOLLO,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-74069708,,2026-09-02,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 155 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
31,SITE_ROAD_1,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-80814238,,,under_assessment,,34.3,,,"Portal stage at harvest: Assessment. Development type Data Storage, industry classification Water and Telecommunications. 99 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
32,SITE_TALAVERA,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-24299707,,2024-01-19,approved,IPC-N,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 130 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
33,SITE_WATERLOO_ESR,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-59516710,,,under_assessment,,,,,"Portal stage at harvest: not recorded. Development type Data Storage, industry classification Water and Telecommunications. 50 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
34,SITE_ORIORDAN,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-77274467,,,under_assessment,,38.0,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 5 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
35,SITE_DIGICO_SYD1,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-69637456,,2025-12-23,approved,Executive Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 184 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
36,SITE_PROJECT_PLUTO,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-69223466,,2026-07-23,approved,Director,126.0,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 158 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
37,SITE_DAVIS_RD_CUNDALL,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-59416728,,2024-12-20,approved,Director,180.0,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 118 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
38,SITE_NEXTDC_S4,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-63741210,,2025-12-24,approved,Executive Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 260 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
39,SITE_NEXTDC_S4_P2,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-108864209,,,under_assessment,,134.4,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 120 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
40,SITE_APOLLO_PLACE,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-67407231,,2025-10-09,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 212 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
41,SITE_LANE_COVE_WEST,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-9741,,2019-11-15,approved,Executive Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 144 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
42,SITE_LANE_COVE_MARS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-108835458,,,under_assessment,,,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 59 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
43,SITE_MOWBRAY_RD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-13475973,,,withdrawn,,,,,"Portal stage at harvest: Withdrawn. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 68 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
44,SITE_PROJECT_MARS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-82052708,,,under_assessment,,,,,"Portal stage at harvest: Response to Submissions. Development type Data Storage, industry classification Water and Telecommunications. 84 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
45,SITE_ALDINGTON,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-112059740,,,under_assessment,,,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 67 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
46,SITE_KC1,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-133677993,,,under_assessment,,144.0,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 32 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
47,SITE_MSFT_KEMPS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-10101987,,2023-07-13,approved,Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 119 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
48,SITE_MAMRE_ROAD,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-92743706,,,under_assessment,,,,,"Portal stage at harvest: Response to Submissions. Development type Data Storage, industry classification Water and Telecommunications. 321 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
49,SITE_STACK_SYD01,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-82211208,,,under_assessment,,450.0,,,"Portal stage at harvest: Assessment. Development type Data Storage, industry classification Water and Telecommunications. 209 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
50,SITE_DCI_POPLARS,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-64287712,,2025-11-06,approved,Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 76 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
51,SITE_BROOKHOLLOW,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-81928961,,,under_assessment,,,,,"Portal stage at harvest: Response to Submissions. Development type Data Storage, industry classification Water and Telecommunications. 73 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
52,SITE_FREDERICK_ST,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-139545990,,,under_assessment,,81.0,,,"Portal stage at harvest: Prepare EIS. Development type Data Storage, industry classification Water and Telecommunications. 21 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
53,SITE_LANCELEY,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-66777221,,2025-04-11,approved,Director,,,,"Portal stage at harvest: Determination. Development type Data Storage, industry classification Water and Telecommunications. 145 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
54,SITE_DICKER_DATA,"NSW Department of Planning, Housing and Infrastructure",state_significant_development,SSD-8662,,2019-04-12,approved,Executive Director,,,,"Portal stage at harvest: Determination. Development type Warehouse or distribution centres, industry classification Transport & Logistics. 60 documents attached to the project record.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
