id,pillar,question,why_it_matters,target_source,retrieval_method,priority,status,owner,opened,resolved_date,notes,fact_status,source_id,confidence,as_of_date
11,D,"Verify the Melton (Syncline Energy) and South Morang proposals: proponent legal entity, application reference, capacity, back-up generation, water source, and the council's decision record.",Both currently sit at CLAIMED/low confidence from social and local reporting. They are important Pillar D case studies and must not be published at that confidence level.,City of Melton and City of Whittlesea planning registers; VicPlanning,scrape_portal,4,in_progress,,2026-09-18,,"Partly advanced 2026-09-18. The Guardian (26 July 2026) identifies Syncline Energy as the proponent of the Plumpton 'Victorian AI hub' (350 ha, reported 2.4 GW max), and local reporting links the same developer to the Melton proposal; SITE_MELTON_SYNCLINE is now attributed and lifted from CLAIMED/low to REPORTED/medium. Still outstanding: the Melton application reference and capacity, and any verification of the South Morang ~A$1bn approval, which remains CLAIMED/low on a single local source.",REPORTED,SRC_GUARD_PLUMPTON,medium,2026-09-18
12,D,"Confirm the Anthropic / Western Downs Digital Park relationship from a primary source, and obtain the Zerra DC development application.",A foreign AI laboratory anchoring Australia's largest proposed facility is a material sovereignty finding; it currently rests on secondary and social reporting.,Western Downs Regional Council DA register; Anthropic and Queensland Government statements,manual_review,4,in_progress,,2026-09-18,,"Still short of a primary source, and now demonstrably so. The lodged Western Downs development application - the authoritative document for this project - does not mention Anthropic anywhere, and does not mention Zerra or AGP either. The Anthropic link rests on trade press and metropolitan reporting of a signed agreement that is not in the planning record. Record it as REPORTED at best and do not publish it as fact. The route to verification is the commercial agreement, not the planning system.",REPORTED,SRC_WDDP_TPR,medium,2026-09-18
13,A,"Map hyperscaler site-level footprints: Microsoft's 29 Australian sites, AWS Sydney and Melbourne facilities, Google and Meta facilities, with capacity and grid connection point.",Hyperscalers disclose national investment totals but not sites. Without site data the physical footprint in Pillar A is materially understated.,Planning portals (SSD/SSI searches by proponent SPV); council DA registers; ASIC SPV searches; property transactions,scrape_portal,5,in_progress,,2026-09-18,,"Advanced again 2026-09-18. The complete NSW data centre SSD register (46 records) contains NO project titled AWS, Amazon, Google or Meta; Microsoft appears only through its proponent entity Microsoft Datacentre (Australia) Pty Ltd on Kemps Creek SSD-10101987 (approved, operating) and Honeman Close SSD-58601963 (in Assessment, description references 96 MW). Conclusion: hyperscaler footprints CANNOT be mapped from NSW planning titles. The sector's convention is codenames - Project Duke, Atlas, Echidna, Apollo, Pluto, Mars, KC1, Road 1 - and the NSW Government's own IDA release confirms it (Goodman's 'Project Atlas', Stockland's 'Project A'), with one endorsed project withheld entirely for commercial sensitivity. Remaining routes are ASIC resolution of the codename SPVs (RG-035), landlord tenancy disclosure, and Victorian and Queensland registers. AWS and Google remain entirely unresolved.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
14,B,"Obtain the commercial structure of the OpenAI-NEXTDC S7 arrangement: offtake term, capacity committed, price basis, funding of the build, and whether OpenAI holds any equity or option over the asset.","Determines whether Australia is hosting a sovereign asset with a foreign tenant, or a foreign-owned compute node built on an ASX-listed shell.",NEXTDC ASX announcements and investor presentations; OpenAI statements,manual_review,4,open,,2026-09-18,,,VERIFIED,,,
15,C,Ingest all submissions to the NSW Legislative Council data centres inquiry and classify them by organisation type and position.,Roughly 120+ submissions constitute the largest single body of primary Australian evidence on this topic and are freely downloadable.,https://www.parliament.nsw.gov.au/committees/inquiries/Pages/inquiry-details.aspx?pk=3169,scrape_portal,5,in_progress,,2026-09-18,,"Priority RAISED from 4 to 5 on 2026-09-18. The inquiry record is now the most promising free route to closing RG-007: a question put to a revenue officer in the 29 May 2026 public hearings, or a submission from an industry body or union, would settle whether payroll tax or land tax concessions exist without waiting 8-12 weeks for an FOI decision. Approximately 120+ submissions are freely downloadable and the terms of reference were updated 5 August 2026.",VERIFIED,SRC_NSWINQ,high,2026-09-18
16,D,"Build the community action group register: name, locality, formed date, campaign focus, affiliation and contact, for every corridor (Western Sydney, Lane Cove/Macquarie Park, Moss Vale, Melton, Whittlesea, Western Downs, ACT).","Pillar D requires tracking group formation, not just events. Only five groups are currently recorded.","Facebook groups, Change.org, council submission registers, local media",scrape_portal,3,open,,2026-09-18,,,VERIFIED,,,
17,C,"Retrieve water access agreements and trade waste approvals between data centres and Sydney Water, Yarra Valley Water, South East Water, Melbourne Water and Unitywater, including recycled water scheme capacity constraints.",The S7 recycled-water collapse happened because pipeline planning permission was unavailable. That failure mode needs to be documented across every corridor.,FOI to water utilities; IPART water pricing review submissions,foi_request,4,open,,2026-09-18,,,VERIFIED,,,
18,E,"Assess whether any Australian data centre currently provides system services (FCAS, system strength, synthetic inertia) or is merely a base load extractor, and quantify contracted demand flexibility.",This is the engineering question at the heart of the critique. AirTrunk's Western Sydney battery is the only documented example and its MW/MWh are undisclosed.,AEMO market registration lists; FCAS participant registers; operator sustainability reports,dataset_download,4,open,,2026-09-18,,,VERIFIED,,,
19,E,Establish the existence and location of any synchronous condenser installation serving an Australian data centre corridor.,The brief proposes mandating synchronous condensers at data centres. No Australian evidence of load-side installation has been located; existing machines are network-side. This determines whether the recommendation is sound or misdirected.,Transgrid and AEMO system strength reports; network business capital plans,manual_review,4,open,,2026-09-18,,,VERIFIED,,,
21,A,"Resolve KNBDC SYD4 Pty Ltd: shareholders, directors, ultimate parent, and its relationship to AirTrunk and to IFM Investors / ISPT as landowner.","This SPV is the named proponent of Australia's largest data centre proposal (1-1.2 GW, Mamre Road). Two credible sources already conflict on who owns the land. Without ASIC resolution the ownership chain for the single most important site in the database is unproven, and the 'SYD4' match to AirTrunk's site code is only circumstantial.",ASIC company register (paid extract) and the Australian Business Register (https://abr.business.gov.au); NSW Land Registry Services title search for 706-752 Mamre Road,asic_search,5,in_progress,,2026-09-18,,"Substantially advanced 2026-09-18. The ABR resolves the full proponent structure for Mamre Road: The Trustee for KNBDC SYD4 Hold Trust, Land Trust and Intermediate Hold Trust (all Fixed Unit Trusts, all registered 19 June 2025, NSW 2060), with NBDC Pty Ltd (ACN 606 821 452, incorporated 2015) as trustee, above KNBDC AU Development Pty Ltd (ACN 687 116 098, 15 May 2025) and KNBDC AU Financing Holdco Pty Ltd (ACN 685 936 074, 3 April 2025), plus parallel MEL3 and MEL EXP stacks. Still outstanding and now the subject of RG-036: beneficial ownership, which the ABR does not publish. The AirTrunk SYD4 inference remains unverified.",VERIFIED,SRC_ABR_KNBDC,high,2026-09-18
22,A,"Identify the actual developer and end user behind the Glendenning Road Data Centre (SSD-73761707, 202.4 MW, approved 16 September 2026).","The NSW Government's own IDA release names 'Lehr Consultants International (Australia) Pty Ltd' - a planning and engineering consultancy - as the proponent. A 202 MW facility in Blacktown LGA has been approved with its developer and tenant effectively undisclosed in public documents. This is the clearest instance yet of the anonymisation problem RG-013 exists to solve, and it is a transparency finding in its own right.","SSD-73761707 EIS (40 documents published on the portal), Request for SEARs, and the Determination; the PDA-67670218 document carries ABN 54 146 035 707 which resolves via the ABR",scrape_portal,5,resolved,,2026-09-18,2026-09-18,"Closed as superseded by RG-037, and now reinforced: the Glendenning applicant is Lehr Consultants International (Australia) Pty Ltd, a consultancy. The same pattern appears at Davis Road, where the named applicant Cundall Johnston and Partners Pty Ltd is the consulting engineer whose name is already in the project title. Resolving the actual developer requires the title documents, which are access-restricted.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
23,A,"Map AWS and Google Australian data centre sites: planning consents, proponent entities, capacities and grid connection points.","Microsoft is now resolved to a named consent (SSD-10101987, Kemps Creek, 61 generators, 30 diesel tanks, reported 190 MW). Neither AWS nor Google has produced a single attributable Australian consent in this database despite A$20bn and reported multi-billion commitments. Amazon Commercial Services Pty Ltd runs a 'Global Realty' function that acquires sites, and Amazon Corporate Services Pty Ltd reports 405,217 t of scope 2 to the CER, so the facilities exist and are material - they are simply not publicly attributable.",NSW Planning Portal SSD/SSI search by proponent; Victorian planning register; council DA registers; ASIC/ABR for Amazon and Google SPVs; the withheld IDA project (one of 15 is not published 'due to commercial sensitivities'),scrape_portal,5,resolved,,2026-09-18,2026-09-18,"RESOLVED as a negative finding on 2026-09-18, and re-scoped to RG-035 for the constructive work. The question 'can AWS and Google sites be mapped from NSW planning records?' is answered: no. All 46 data centre SSD records were harvested and none is titled AWS, Amazon, Google or Meta. The remaining work - resolving codename SPVs via ASIC and the title documents attached to each application - is RG-035.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
24,A,"Confirm Microsoft Kemps Creek's operational IT capacity, GFA and campus area from a primary source rather than the grade-C tracker currently cited.","190 MW / 60,943 sqm / 14.43 ha currently rests on datacentermap.com. It should rest on the consent, the staging plan, or Microsoft's own project page.",SSD-10101987 Determination and Condition A11 Staging Plan (both published); Microsoft's Australian project communications,manual_review,3,open,,2026-09-18,,,VERIFIED,SRC_DCMAP_MSFT,high,2026-09-18
25,B,"Extract the contribution amount and schedule from the executed Microsoft / Penrith City Council Voluntary Planning Agreement, and then survey VPAs and s7.11/s7.12 contributions across every data centre consent in Blacktown, Penrith, Fairfield, Ryde and Hills Shire.","This is the documented mechanism by which hyperscalers pay for local public infrastructure in NSW. Quantifying it turns the subsidy debate around: it is the one place where money demonstrably flows FROM developers TO communities, and it is publishable, comparable, and already in the public record.",yoursaypenrith.com.au (executed VPA and explanatory note); council planning agreement registers; NSW Planning Portal Voluntary Planning Agreements list,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_PENRITH_VPA,high,2026-09-18
26,C,"Retrieve the determination and consent conditions for SSD-73761707 (Glendenning Road, approved 16 September 2026) and test them against the NSW Data Centre Guidelines' 17 performance measures.","This is the first major data centre consent issued after the Guidelines took effect on 17 August 2026. Whether it imposes dPUE <=1.25 / dWUE bands, Group 6 generator limits, the 25% two-hour demand reduction capability, and the Principle 3 PPA additionality tests is the empirical test of whether the new regime binds at all. If a 202 MW approval one month after the Guidelines omits them, the Guidelines are advisory in practice as well as in law.",NSW Planning Portal SSD-73761707 Determination (3 documents published) and the 27 approved management plans,scrape_portal,5,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18. Downloaded and read the signed Development Consent for SSD-73761707 (2,172,177 bytes, 35 pages, sha256 archived). Findings: the consent binds the operator to match ALL operational electricity demand including non-IT load with a portfolio of additional, firmed renewable energy supply AT ALL TIMES via NSW-based NEM PPAs and a firming agreement before operation may commence (B20); caps back-up generation at 267.45 MW installed and total consumption at 235 MW (A6); caps generator operation at 170 hours per year with concurrency, evening and daily testing limits (A7); caps on-site diesel at 2,000 tonnes (A7(e)); imposes 45 m stacks and an absolute cap below 10 t/yr NOx as NO2-equivalent plus annual emissions testing and a no-preclude-retrofit design requirement (B14-B16); requires a Sustainability Management Plan with continuous metering and annual PUE, WUE and CO2-e reporting and a three-yearly technology review (B22-B23); and requires website publication of approvals, plans, environmental performance reporting and Independent Audit Reports. It does NOT impose a numeric PUE or WUE ceiling, does NOT require the Guidelines' 25% two-hour demand reduction, and does NOT mandate recycled water - only prioritisation where available. The Guidelines are never cited. Verdict: stronger than the Guidelines on additionality and emissions, weaker on efficiency and flexibility. Follow-up is RG-038.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
27,A,"Verify and map the non-NEM and outer-metro proposals surfaced during RG-013: Wesley Vale AI data centre (Tasmania), the Beetaloo Digital energy and data centre development at Berry (NSW south coast), and the Frederick Street Artarmon proposal (Willoughby LGA).","All three surfaced only through local and social reporting and none is in the database. Tasmania is outside the NEM entirely, which matters given the jurisdictional scoping correction already recorded in the engineering register.",Tasmanian planning authority; Shoalhaven City Council; Willoughby City Council; primary proponent announcements,manual_review,3,open,,2026-09-18,,,REPORTED,SRC_GUARD_PLUMPTON,low,2026-09-18
28,B,Can data centre operators be identified by screening NGER corporate data for anonymous SPVs with a high-scope-2 / near-zero-scope-1 emissions signature?,"If it worked it would be a cheap, repeatable way to find hyperscaler entities without ASIC searches. It does not work.",Australian Business Register (https://abr.business.gov.au) used to resolve the two candidates,manual_review,4,resolved,,2026-09-18,2026-09-18,"NO. The two strongest candidates in the 2024-25 NGER corporate table resolved via the ABR to A.C.N. 085 239 998 Pty Ltd = KFC Australia / Kentucky Fried Chicken Pty Ltd (scope 2 156,819 t, scope 1 1,623 t) and A.C.N. 166 119 133 Pty Ltd = Saputo Dairy Australia holding company (scope 1 127,086 t, scope 2 124,002 t, market-based scope 2 122,112 t reported as covering all facilities). Any electricity-intensive, low-combustion business presents the same signature as a data centre. Entity resolution must go through ASIC/ABR and planning-portal proponent names. Recorded so the mistake is not repeated.",VERIFIED,SRC_CER_NGERS,high,2026-09-18
34,A,"Extend the NSW register harvest to modification applications and to local council development applications in Blacktown, Penrith, Fairfield, Ryde, Lane Cove, Willoughby, Camden, Cumberland, Hills Shire and Parramatta.","Modifications carry the operational changes that matter most - 'Lane Cove West Mod 1 fuel storage', 'Roberts Road Mod 2 additional back-up generators and diesel storage', 'Eastern Creek Mod 2 power consumption increase'. A consent's original capacity is not its operating capacity. And council-level DAs are where smaller facilities and all of the community-facing disputes sit.",NSW Planning Portal (modification records already enumerated in data/raw/nsw_planning/dc_project_slugs.json); each council's online DA register,scrape_portal,4,in_progress,,2026-09-18,,"Advanced 2026-09-18. All 17 post-consent modification records for NSW data centre SSDs are harvested and loaded: case ids, stages, decisions, determination dates and LGAs. Fifteen approved, one withdrawn, two undetermined. Five are material to the environmental envelope (added generators and diesel at Roberts Road, a power consumption increase at Eastern Creek, added fuel storage at Lane Cove West, an expansion at Talavera Road, and pending operational-infrastructure changes at Roberts Road again). RESIDUAL: modification pages do not publish the development description, so the QUANTUM of each change is unknown - the underlying modification reports must be fetched (RG-045). Local council development applications are also still out of scope.",VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
35,A,"Resolve the codename SPVs behind Project Duke, Project Atlas, Project Echidna, Project Apollo, Project Pluto, Project Mars, KC1 and Road 1 via ASIC company extracts and the title documents attached to each application.","These are the most likely hiding places for hyperscaler leases in NSW. The NSW Government's own IDA release already shows that codenames are the sector's convention (Goodman's 'Project Atlas', Stockland's 'Project A'), and one IDA-endorsed project is withheld entirely for commercial sensitivity. Without ASIC extracts the hyperscaler footprint in Australia cannot be mapped from public planning data at all.",ASIC Connect company and business-name extracts; Appendix title documents in each SSD record (these name the registered proprietor); landlord disclosures,asic_search,5,in_progress,,2026-09-18,,"Substantially advanced 2026-09-18 by reading Schedule 1 of 20 signed consents. RESOLVED: Project Apollo (Macquarie Park) = Goodman Property Services (Aust) Pty Limited; Grand Avenue Expansion Rosehill = Equinix Hyperscale 2 (SY10) Pty Limited; Talavera Road Campus Expansion = Macquarie Data Centres Pty Ltd; NEXTDC S4 Horsley Park = NEXTDC Limited; Roberts Road = Canberra Data Centres Pty Ltd; DigiCo SYD1 Expansion = HDI SYD1 Property Holdings Limited; DCI Poplars = The Trustee for NineZero DC Sub Trust I; 43-61 Turner Road = ARUP Pty Ltd; 51 Huntingwood Drive and Apollo Place = EMKC Cubed Management Pty Ltd. STILL UNRESOLVED: Project Duke, Project Echidna, Project Mars, Project Pluto, KC1 and Road 1, plus six consents whose Schedule 1 did not parse (RG-065). No AWS, Google or Meta entity has appeared in any Schedule 1 to date, which strengthens rather than weakens the RG-023 negative - except for the access-restricted Amazon ASIC certificate on the Davis Road application (RG-057).",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
36,B,"Obtain ASIC company extracts for KNBDC AU Development Pty Ltd (ACN 687 116 098), KNBDC AU Financing Holdco Pty Ltd (ACN 685 936 074), KNBDC MEL EXP FinCo Pty Ltd and NBDC Pty Ltd (ACN 606 821 452): directors, shareholders and any registered charges.","This is the last missing link for Australia's largest data centre proposal. The ABR resolves the whole trust stack but publishes no ownership. The sponsor of a 1-1.2 GW campus at Kemps Creek is currently unidentifiable from any public source, and a web search for 'KNBDC' returns zero results. A paid ASIC extract (a few dollars per company) names the directors and members and would settle whether this is AirTrunk, another incumbent, or a new entrant.","ASIC Connect company extracts; registered charges search; the SSD-92743706 Appendix 03 Title Documents attachment on the NSW Planning Portal, which names the registered proprietor",asic_search,5,open,,2026-09-18,,"Supersedes the ownership half of RG-021, which is now partly advanced: the entity structure is fully resolved and only beneficial ownership remains.",VERIFIED,SRC_ABR_KNBDC,high,2026-09-18
37,A,"Identify the developer and end user of the Glendenning Road Data Centre (SSD-73761707, 235 MW, consented 16 September 2026).",The signed consent names Lehr Consultants International (Australia) Pty Ltd - a planning and engineering consultancy - as the Applicant. A 235 MW facility has been consented in Blacktown LGA with neither the developer nor the tenant identifiable from the public record. RG-022 is unresolved and this is now the clearest transparency failure in the NSW pipeline.,"SSD-73761707 Appendix 03 Title Documents (names the registered proprietor of Lot 2 DP1137162); the EIS and Request for SEARs documents, 40 of which are published; NSW Land Registry Services title search; ASIC extract for Lehr Consultants and any related project SPV",scrape_portal,5,open,,2026-09-18,,"The portal attachment list is reachable via the Drupal node JSON at /node/<nid>?_format=json -> field_attachment, which yields 177 document slugs for this project. Draft conditions and EPA comment documents returned HTTP 401, so some assessment material is access-restricted even though the signed consent is public.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
38,C,Do data centre consents issued AFTER 17 August 2026 impose the NSW Data Centre Guidelines' numeric dPUE and dWUE ceilings and the 25% two-hour demand reduction requirement?,"SSD-73761707 is the first major consent signed after the Guidelines took effect and it imposes neither: PUE and WUE are reporting and continual-improvement obligations with no numeric ceiling, and demand flexibility appears only as a way to manage renewable shortfalls. The consent is simultaneously STRICTER than the Guidelines on renewables (all-times matching with additional firmed supply) and on generators (170 hours, 10 t/yr NOx, 45 m stacks). If later consents also omit the efficiency and flexibility measures, the Guidelines' headline metrics are not reaching consents at all and the fast-track bargain is one-sided.",Every SSD data centre determination dated after 17 August 2026 on the NSW Planning Portal; compare condition text against the 17 performance measures,scrape_portal,5,resolved,,2026-09-18,2026-09-18,"Resolved 2026-09-18 on four consents and then EXTENDED to all twenty by RG-060. The four-consent finding holds across the full population: the 200 hour generator cap is the Department standard, with only Glendenning (170), Project Pluto (173) and Project Apollo (187) departing from it; installed back-up generation exceeds the load cap in every consent stating both; and the NOx mass cap exists in exactly one consent out of eighteen. TWO CORRECTIONS to the four-consent write-up: website public disclosure is in 16 of 18 consents so it is standard practice and NOT a distinguishing feature of the post-Guidelines consent as originally reported; and the apparent demand-response prevalence was a parser false positive - the matches are the consent definition of Load Curtailment and a condition PROHIBITING the use of back-up generators to support load curtailment, so no consent in the sample requires any non-diesel demand response capability.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
39,C,"Test compliance with the website-disclosure condition: does the Glendenning Road operator actually publish its approved plans, environmental performance reporting, monitoring summary and Independent Audit Reports once operational?","The consent requires statutory approvals, all approved strategies, plans and programs (excluding hazard and risk studies), regular environmental performance reporting and a comprehensive monitoring summary to be made publicly available on the applicant's website, and each Independent Audit Report plus response within 60 days. That is a stronger public-transparency obligation than the NSW Guidelines, which allow water and energy forecast data to be provided commercial-in-confidence. If it is honoured, the Observatory gets site-level PUE, WUE and emissions for free; if it is not, that is an enforcement finding.",The applicant's website once identified (RG-037); DPHI compliance and enforcement records for SSD-73761707,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
40,D,"Collect every council submission on data centre SSD applications in Blacktown, Penrith, Fairfield, Ryde and Hills Shire, and code the objection grounds.","Blacktown's objection raises three grounds that do not appear in the NSW Guidelines' 17 performance measures at all: net employment loss against displaced existing uses (three warehouses on this site), cumulative urban heat and microclimate impact in one of the hottest parts of Western Sydney intensified by colocation, and parking non-compliance (823 spaces required, 165 proposed). Councils are identifying externalities the state framework does not measure. Coding all of them would produce the evidence base for adding those measures.",NSW Planning Portal submissions tab for each data centre SSD (PAE- and SUB- attachments are publicly downloadable),scrape_portal,4,open,,2026-09-18,,,VERIFIED,SRC_BLACKTOWN_OBJ,high,2026-09-18
