event_date,state,locality,event_type,actor,summary,severity,site,community_group,outcome,fact_status
2026-05-22,NSW,NSW,political_intervention,"Ms Solaye Snider and Dr Simon Bradshaw, Greenpeace Australia Pacific; Ms Jaqueline Mills, Nature Conservation Council of NSW","Both environmental organisations gave oral evidence on 22 May 2026 in addition to their written submissions, in the same session as the water utilities and networks.",3,,Greenpeace Australia Pacific,,VERIFIED
2026-05-19,NSW,Moss Vale / Southern Highlands,protest,Southern Highlands community and ACF,Protests called after the developer expanded plans for fossil gas generation to serve the campus. The Australian Conservation Foundation is investigating the proposal.,4,Cloud Carrier Southern Highlands Data Campus,,,REPORTED
2026-05-08,NSW,Lane Cove,political_intervention,"Ms Rochelle Flood, Deputy Mayor, Lane Cove Council",Lane Cove Council's Deputy Mayor gave evidence to the inquiry on 8 May 2026. The same LGA contains five data centre SSD records and a resident population reporting an operating facility 350 m from homes.,3,,Lane Cove data centre residents (unformalised),,VERIFIED
2026-04,NSW,Kemps Creek,council_rejection,Penrith City Council,"Penrith City Council told the NSW Government it objected to the Mamre Road proposal, arguing the site was 'not suitable for a proposed development of this scale'.",5,Mamre Road Data Centre Campus,,,REPORTED
2026-04,NSW,Kemps Creek,school_or_institution_objection,Mamre Anglican School / Anglican Schools Corporation,"The school directly across the road raised concerns about air quality, noise during and after construction, and the location of power generation and diesel storage relative to students; it noted that community understanding of data centre impacts 'has not had time to be reliably informed', flagged significant consequences in the event of a fire, and has identified an alternative site while seeking government help to relocate.",4,Mamre Road Data Centre Campus,,,REPORTED
2026-04,NSW,Kemps Creek,school_or_institution_objection,Catholic Church of the Diocese of Parramatta (Emmaus Retirement Village),"Formal objection: the proposal 'fails to adequately address cumulative impacts, emergency access, servicing resilience and stormwater feasibility, and places unacceptable and unresolved risk on existing community critical land uses'. Concerns raised about water and electricity supply to the retirement village operated by Catholic Healthcare.",4,Mamre Road Data Centre Campus,,,REPORTED
2026-04,NSW,Kemps Creek,objection_submission,Catholic Schools Parramatta Diocese,"Did not object in principle but asked that impacts be minimised, that diesel back-up generator testing occur outside school hours and peak outdoor activity periods, and that noise, construction traffic and fuel and battery storage impacts be limited. Affected schools: Emmaus Catholic College and Trinity Catholic Primary.",3,Mamre Road Data Centre Campus,,,REPORTED
2026-03-27,NSW,NSW,objection_submission,Greenpeace Australia Pacific,"Submission No 120 to the NSW Legislative Council inquiry urges the Government not to 'roll out the red carpet' without legislated protections, democratic oversight and community consent, and to treat AI data centres as a high-risk infrastructure category that must prove compatibility with NSW climate, energy, water and social objectives before approval is contemplated.",4,Mamre Road Data Centre Campus,Greenpeace Australia Pacific,,VERIFIED
2025-06-12,NSW,Glendenning,council_rejection,"Blacktown City Council (Judith Portelli, Manager Development Assessment)","Formal six-page objection to SSD-73761707. Planning: the proposal requires 823 car parking spaces under the Blacktown DCP and offers 165, and even the Transport for NSW Guide to Transport Impact Assessment (2024) yields 179; high visual impact from bulk and scale, with the building still clearly visible above the tree canopy at full planting maturity, no other buildings of this height anywhere in the vicinity, and the site directly abutting Nurragingy Reserve; underground fuel tanks proposed in the landscape setback. City Architect: no 20 m landscaped buffer to the eastern boundary free of parking, driveways, plant, equipment and tanks; building heights not reduced; facade monotone. Social planning: the site is in one of the hottest parts of Western Sydney already vulnerable to urban heat, servers must be kept below 33.3 degrees, the facility will increase the microclimate temperature and the number of hot days and heatwaves for an already vulnerable community, and the ESD report fails to articulate the temperature increase from three centres compared with conventional industrial development; with Blacktown becoming a preferred location for new data centres the impact will be intensified by colocation, so impacts of not only this site but all existing and proposed data centres should be better assessed. Employment: the operational employment figures in the Social and Economic Impact Assessment do not account for the existing employment across the THREE EXISTING WAREHOUSES on the site, and Council demands a revised analysis using existing FTE numbers and skill diversity, or business-as-usual figures if those businesses cease. Council also states that the financial gains of the owner should be balanced with improved investment back into the site and surrounding community. Engineering and drainage: an 18,000 sqm southern portion is excluded from the water quality treatment system; the site is affected by overland flow in both low and medium risk and the proposed cut and fill will disturb the existing flow path.",5,Glendenning Road Data Centre,,Not determinative. Consent issued 16 September 2026 by the Minister's delegate.,VERIFIED
2025-06,NSW,Glendenning,council_rejection,Blacktown City Council,"Blacktown City Council lodged a formal OBJECTION to the EIS for the Glendenning Road Data Centre (SSD-73761707, exhibited at 202.4 MW; the signed consent permits 235 MW). The project was determined on 16 September 2026 regardless.",5,Glendenning Road Data Centre,,,VERIFIED
2021,VIC,West Footscray,objection_submission,West Footscray residents,"More than 80 objections to the original NEXTDC M3 permit application, on grounds of noise (the continuous hum of air conditioning systems), light pollution, health and wellbeing impacts, and loss of industrial land that might otherwise support diverse employment. Maribyrnong City Council approved the permit in 2021 despite the objections.",4,NEXTDC M1 / M2 / M3 Melbourne,,,REPORTED
