id,as_of,scope,metric_name,value,unit,basis,scenario,notes,fact_status,source_id,confidence,as_of_date
24,2026-08,Western Sydney,unlockable_capacity_with_augmentation,2000.0,MW,estimate,,"Requires a new South Creek 500/330 kV substation plus substation and transmission upgrades, funded by proponents.",VERIFIED,SRC_TRANSGRID26,high,2026-09-18
25,2026,NSW,average_demand,8750.0,MW,actual,,NSW average electricity demand ranges 7.5-10 GW; midpoint shown.,VERIFIED,SRC_TRANSGRID26,high,2026-09-18
26,2025,Australia,phantom_share_of_connection_requests,85.7,%,estimate,,Oxford Economics for AEMO: 6 in every 7 MW of data centre connection requests are phantom demand.,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
27,2026,NSW,applications_likely_to_proceed,20.0,%,estimate,,Consultation with energy utilities on their connections pipeline.,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
28,2026,NSW,ssd_project_pue_average,1.3,ratio,actual,,Range 1.15-1.4 across recent EISs; latest application requirements specify 1.3.,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
29,2026,NSW,ssd_project_wue_average,1.0,L/kWh,actual,,9 of 12 proposed projects; planning requirements do not yet specify WUE.,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
30,2026,NSW,diesel_generator_unregulated_hours,200.0,hours/yr,actual,,Current regulation allows generator use up to 200 hours a year without point-source NOx limits. The largest data centres have generator capacity comparable to NSW's larger gas power plants.,VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
31,2023-03 to 2026-05,NSW,renewable_projects_approved,49.0,count,actual,,"10.2 GW of new generation and over 30 GWh of storage approved. Separately, 10 GW approved and 41 GW proposed statewide.",VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
32,2026-02,NSW,ssd_projects_with_ppa_commitment,50.0,%,actual,,"Over half of proposed projects in the planning system had committed to some form of PPA or longer-term renewable sourcing. PPAs to date skew to solar rather than the wind, storage and firming NSW needs.",VERIFIED,SRC_NSWGUIDE26,high,2026-09-18
33,2035,Sydney,data_centre_share_of_drinking_water,25.0,%,forecast_central,,Sydney Water projection: the equivalent of about a quarter of the city's yearly drinking water supply.,REPORTED,SRC_ABC_WATER,high,2026-09-18
34,2025,Sydney,water_price_increase_attributable,168.0,AUD/household/yr,estimate,,Sydney Water reported rising potable demand from data centres as a factor in the regulator's 2025 price determination.,REPORTED,SRC_GREENPEACE_SUB,medium,2026-09-18
35,2035,NSW,wholesale_price_impact_without_new_supply,26.0,%,forecast_central,,"Climate Council: without significant new renewable generation and storage, data centres could push NSW power prices 26% higher by 2035.",REPORTED,SRC_BB2026,medium,2026-09-18
36,2026,Western Sydney,peak_demand_vs_rest_of_city,4.0,x,estimate,,SMH investigation: the capacity increase equals the average load of more than 10 million households and at peak would demand almost four times as much power as the rest of the city.,REPORTED,SRC_SMH_WSYD,medium,2026-09-18
37,2026,VIC,data_centre_pipeline_value,51.9,AUD bn,pipeline,,Clean Energy Council reference to Victorian fast-tracked priority projects. Reconcile with the Victorian Government's own 'more than $25bn' pipeline figure - the two are not measuring the same thing.,REPORTED,SRC_CEC,low,2026-09-18
38,2026,VIC,proposed_demand_estimated_by_farmers,9000.0,MW,estimate,,Victorian Farmers Federation estimate reported second-hand: equivalent to four Loy Yang power stations. Primary VFF document required before use.,CLAIMED,SRC_MELTONCC,low,2026-09-18
39,2026,NSW,hcf_certified_strategic_facilities_national,60.0,count,actual,,"60 Certified Strategic facilities and enclaves nationally across 13 providers, unchanged during the certification pause.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
40,2024-07,Virginia (US) - comparative,load_disconnected_after_single_fault,1500.0,MW,actual,,"The empirical basis for the AEMC fault ride-through standard. Approximately 1,500 MW of data centre load disconnected following a single network fault, contributing to system instability.",VERIFIED,SRC_AEMO26,high,2026-09-18
41,2026,NEM,large_data_centre_connection_lead_time,2.0,years,estimate,,Application to energisation; large data centres then ramp over 5-10 years.,VERIFIED,SRC_AEMO26,high,2026-09-18
42,2019-20,Australia,nger_scope1_AirTrunk,132.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
43,2019-20,Australia,nger_scope2_AirTrunk,94528.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
44,2019-20,Australia,nger_net_energy_AirTrunk,397923.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
45,2020-21,Australia,nger_scope1_AirTrunk,328.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
46,2020-21,Australia,nger_scope2_AirTrunk,157174.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
47,2020-21,Australia,nger_net_energy_AirTrunk,660303.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
48,2021-22,Australia,nger_scope1_AirTrunk,918.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
49,2021-22,Australia,nger_scope2_AirTrunk,257423.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
50,2021-22,Australia,nger_net_energy_AirTrunk,1106671.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
51,2022-23,Australia,nger_scope1_AirTrunk,2352.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
52,2022-23,Australia,nger_scope2_AirTrunk,348562.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
53,2022-23,Australia,nger_net_energy_AirTrunk,1643984.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
54,2023-24,Australia,nger_scope1_AirTrunk,1826.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
55,2023-24,Australia,nger_scope2_AirTrunk,450207.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
56,2023-24,Australia,nger_net_energy_AirTrunk,2275838.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
57,2024-25,Australia,nger_scope1_AirTrunk,4165.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
58,2024-25,Australia,nger_scope2_AirTrunk,553344.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
59,2024-25,Australia,nger_net_energy_AirTrunk,2886668.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AIRTRUNK AUSTRALIA HOLDING PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
60,2019-20,Australia,nger_scope1_NEXTDC,433.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
61,2019-20,Australia,nger_scope2_NEXTDC,218605.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
62,2019-20,Australia,nger_net_energy_NEXTDC,906422.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
63,2020-21,Australia,nger_scope1_NEXTDC,663.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
64,2020-21,Australia,nger_scope2_NEXTDC,293797.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
65,2020-21,Australia,nger_net_energy_NEXTDC,1257868.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
66,2021-22,Australia,nger_scope1_NEXTDC,1289.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
67,2021-22,Australia,nger_scope2_NEXTDC,350049.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
68,2021-22,Australia,nger_net_energy_NEXTDC,1536358.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
69,2022-23,Australia,nger_scope1_NEXTDC,923.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
70,2022-23,Australia,nger_scope2_NEXTDC,348765.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
71,2022-23,Australia,nger_net_energy_NEXTDC,1689015.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
72,2023-24,Australia,nger_scope1_NEXTDC,1614.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
73,2023-24,Australia,nger_scope2_NEXTDC,335627.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
74,2023-24,Australia,nger_net_energy_NEXTDC,1744228.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
75,2024-25,Australia,nger_scope1_NEXTDC,7919.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
76,2024-25,Australia,nger_scope2_NEXTDC,358353.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
77,2024-25,Australia,nger_net_energy_NEXTDC,1971147.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'NEXTDC LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
78,2020-21,Australia,nger_scope1_CDC Data Centres,163.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
79,2020-21,Australia,nger_scope2_CDC Data Centres,150136.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
80,2020-21,Australia,nger_net_energy_CDC Data Centres,669621.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
81,2021-22,Australia,nger_scope1_CDC Data Centres,171.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
82,2021-22,Australia,nger_scope2_CDC Data Centres,187397.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
83,2021-22,Australia,nger_net_energy_CDC Data Centres,856414.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
84,2022-23,Australia,nger_scope1_CDC Data Centres,199.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
85,2022-23,Australia,nger_scope2_CDC Data Centres,212744.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
86,2022-23,Australia,nger_net_energy_CDC Data Centres,1052002.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
87,2023-24,Australia,nger_scope1_CDC Data Centres,301.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
88,2023-24,Australia,nger_scope2_CDC Data Centres,257540.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
89,2023-24,Australia,nger_net_energy_CDC Data Centres,1367770.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
90,2024-25,Australia,nger_scope1_CDC Data Centres,215.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
91,2024-25,Australia,nger_scope2_CDC Data Centres,317465.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
92,2024-25,Australia,nger_net_energy_CDC Data Centres,1729124.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'CDC GROUP HOLDINGS PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
93,2019-20,Australia,nger_scope1_Amazon Web Services,771.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
94,2019-20,Australia,nger_scope2_Amazon Web Services,134104.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
95,2019-20,Australia,nger_net_energy_Amazon Web Services,606756.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
96,2020-21,Australia,nger_scope1_Amazon Web Services,605.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
97,2020-21,Australia,nger_scope2_Amazon Web Services,192062.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
98,2020-21,Australia,nger_net_energy_Amazon Web Services,861976.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
99,2021-22,Australia,nger_scope1_Amazon Web Services,626.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
100,2021-22,Australia,nger_scope2_Amazon Web Services,260583.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
101,2021-22,Australia,nger_net_energy_Amazon Web Services,1188419.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
102,2022-23,Australia,nger_scope1_Amazon Web Services,739.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
103,2022-23,Australia,nger_scope2_Amazon Web Services,305732.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
104,2022-23,Australia,nger_net_energy_Amazon Web Services,1507903.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2022-23, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
105,2023-24,Australia,nger_scope1_Amazon Web Services,583.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
106,2023-24,Australia,nger_scope2_Amazon Web Services,319138.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
107,2023-24,Australia,nger_net_energy_Amazon Web Services,1684160.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2023-24, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
108,2024-25,Australia,nger_scope1_Amazon Web Services,1007.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
109,2024-25,Australia,nger_scope2_Amazon Web Services,405217.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
110,2024-25,Australia,nger_net_energy_Amazon Web Services,2207911.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2024-25, published controlling corporation 'AMAZON CORPORATE SERVICES PTY LTD'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
111,2019-20,Australia,nger_scope1_Equinix,1198.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
112,2019-20,Australia,nger_scope2_Equinix,297414.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
113,2019-20,Australia,nger_net_energy_Equinix,1271291.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2019-20, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
114,2020-21,Australia,nger_scope1_Equinix,969.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
115,2020-21,Australia,nger_scope2_Equinix,299083.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
116,2020-21,Australia,nger_net_energy_Equinix,1283804.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2020-21, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
117,2021-22,Australia,nger_scope1_Equinix,826.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
118,2021-22,Australia,nger_scope2_Equinix,309100.0,t CO2-e,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
119,2021-22,Australia,nger_net_energy_Equinix,1359210.0,GJ,actual,,"Clean Energy Regulator NGER corporate data, 2021-22, published controlling corporation 'EQUINIX AUSTRALIA PTY LIMITED'.",VERIFIED,SRC_CER_NGERS,high,2026-09-21
