id,name,operator_id,owner_id,anchor_tenant_id,proponent,suburb,lga,state,market,lat,lon,address,status,it_capacity_mw,total_capacity_mw,max_capacity_mw,first_phase_mw,campus_area_ha,gfa_sqm,capital_cost_aud,construction_jobs,operational_jobs,operational_from,target_completion,nearest_cable_ls_km,nearest_cable_ls_name,proximity_note,hcf_certified,notes,fact_status,source_id,confidence,as_of_date
SITE_CDC_KEMPS,CDC Kemps Creek (new filing),ENT_CDC,,,,Kemps Creek,Penrith City Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Filed August 2026; capacity not yet disclosed.,REPORTED,SRC_DCD_CDC,medium,2026-08-05
SITE_CLOUDCARRIER_SH,Cloud Carrier Southern Highlands Data Campus,ENT_CLOUDCARRIER,,,,Moss Vale,Wingecarribee Shire Council,NSW,NEM,,,,lodged,,,700.0,,67.0,,,,,,,,,,unknown,"67-hectare campus. A 673 MW fossil-gas power station ('Southern Highlands Data Campus Power Station') is proposed to serve it, bringing total project capacity to ~700 MW. No EIS published at the time of the Greenpeace submission; a September 2025 Request for SEARs claimed the gas generation would produce lower emissions than the coal-dominated grid. Greenpeace estimates ~2.4 Mt CO2-e per year on reciprocating-engine assumptions. A 14 MW gas unit already holds council planning permission.",REPORTED,SRC_GREENPEACE_SUB,high,2026-03-27
SITE_DR_ERSKINE,"Digital Realty Erskine Park (SYD10, SYD11, SYD14)",ENT_DIGITALREALTY,,,,Erskine Park,Penrith City Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,20-100 MW band enclaves.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_DCI_SYD01,DCI SYD-01 Eastern Creek,ENT_DCI,,,,Eastern Creek,Blacktown City Council,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_MACQ_IC3,Macquarie IC3 'Super West' (Macquarie Park),ENT_MACQUARIE_TG,,,,Macquarie Park,City of Ryde,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Purpose-built AI-ready certified data centre with direct-to-chip liquid cooling.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_MACQ_IC12,Macquarie IC1 / IC2 Strategic Enclaves (Sydney),ENT_MACQUARIE_TG,,,,Sydney,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_EQUINIX_SYD,Equinix Sydney (SY3-SY7),ENT_EQUINIX,,,,Sydney,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,"Adjacent to International Business Exchange facilities hosting AWS, Azure and Google Cloud on-ramps; gateway for the Southern Cross NEXT subsea cable.",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_TELSTRA_STLEON,Telstra St Leonards Strategic Enclave,ENT_TELSTRA,,,,St Leonards,,NSW,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Below 5 MW.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_STOCKLAND_MP,Stockland Macquarie Park Stage 1 data centre,,,,Stockland,Macquarie Park,City of Ryde,NSW,NEM,,,,under_construction,,,,,,,264000000.0,,,,,,,,unknown,"Five-storey data centre at Macquarie Park, A$264m; third-party reporting suggests it is for AWS with a north-zone start in September 2026. Stockland is confirmed as an active NSW data centre proponent by the NSW IDA release (three endorsed projects in Fairfield, Penrith and Ryde), but this specific Macquarie Park project is not among them and the AWS attribution remains unconfirmed - research gap RG-023.",CLAIMED,SRC_CERTSTRAT,low,2026-09-18
SITE_NEXTDC_M4,NEXTDC M4 Melbourne (Fishermans Bend),ENT_NEXTDC,,,,Port Melbourne (Fishermans Bend),City of Port Phillip,VIC,NEM,,,,approved,162.0,,,,,,2000000000.0,,,,,,,,unknown,"Victorian Government development approval January 2026. Designed for AI, defence and sovereign technology workloads; rack densities above 1,000 kW; direct-to-chip liquid cooling.",REPORTED,SRC_CERTSTRAT,high,2026-01-31
SITE_CDC_LAVERTON,CDC Laverton campus (Melbourne south-west),ENT_CDC,,,,Laverton,City of Wyndham,VIC,NEM,,,,under_construction,150.0,,,,,,2700000000.0,,,,,,,,unknown,Phase one of a multi-phase campus; construction commenced early 2025.,REPORTED,SRC_CDC2025,high,2025-02-18
SITE_CDC_BROOKLYN,CDC Brooklyn (Melbourne),ENT_CDC,,,,Brooklyn,,VIC,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_AIRTRUNK_MEL1,AirTrunk MEL1 (Derrimut),ENT_AIRTRUNK,,,,Derrimut,,VIC,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,20-100 MW band.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_DR_MEL11,Digital Realty MEL11 (Deer Park),ENT_DIGITALREALTY,,,,Deer Park,,VIC,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_M123,NEXTDC M1 / M2 / M3 Melbourne,ENT_NEXTDC,,,,Melbourne,,VIC,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,"M2 and M3 are 20-100 MW HCF Certified Strategic enclaves. M3 IS AT WEST FOOTSCRAY AND IS THE WORKED EXAMPLE OF THE VICTORIAN PATHWAY PROBLEM. The original M3 permit was assessed through the standard pathway, received OVER 80 OBJECTIONS on grounds of noise (the continuous hum of air conditioning systems), light pollution, health and wellbeing impacts and loss of industrial land that might otherwise support diverse employment, and was nonetheless approved by Maribyrnong City Council in 2021. NEXTDC then lodged the EXPANSION through the Development Facilitation Program, which bypasses council and excludes VCAT appeal: that application has received 5 objections, one of them from Maribyrnong City Council, and is under review by the Minister for Planning. Objections fell from more than 80 to 5 when the decision maker changed from a council to a minister and the appeal right was removed.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
SITE_EQUINIX_MEL,"Equinix Melbourne (ME1, ME2, ME4)",ENT_EQUINIX,,,,Melbourne,,VIC,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_MELTON_SYNCLINE,Syncline Energy Melton data centre hub (proposed),ENT_SYNCLINE,,,Syncline Energy,Melton,City of Melton,VIC,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,"Residents rallied against this proposal and a council meeting on 27 July 2026 was used to organise opposition; concerns include Green Wedge land use, cooling water, grid capacity and diesel/gas back-up generation. The Guardian identifies Syncline Energy as the proponent of the Plumpton 'Victorian AI hub' and local reporting links the same developer to Melton. Capacity and application reference still unverified.",REPORTED,SRC_MELTONCC,medium,2026-09-18
SITE_SOUTH_MORANG,"South Morang data centre (approved, ~A$1bn)",,,,,South Morang,City of Whittlesea,VIC,NEM,,,,approved,,,,,,,,,,,,,,,unknown,Reported as a newly approved ~A$1bn facility that drew community backlash. Operator and application reference unverified - see research_gaps RG-011.,CLAIMED,SRC_MELTONCC,low,2026-08-01
SITE_WESTERN_DOWNS,Western Downs Digital Park,,ENT_WAMBO,ENT_ANTHROPIC,WDDP Pty Ltd (instructing party named on the lodged application); Zerra WDDP entity group per ABR naming,37 km north-west of Dalby,Western Downs Regional Council,QLD,NEM,,,"Lot 125 on DY516, Dalby-Kogan Road and Grahams Road, 37 km north-west of Dalby town centre",lodged,2160.0,3240.0,2160.0,,725.5,144000.0,31900000000.0,1500,,,,,,,unknown,"READ FROM THE LODGED APPLICATION (Urbis Town Planning Report V4, 14 August 2026; lodged 18-19 August 2026). Site: approximately 725.5 ha of freehold land, Lot 125 on DY516, irregular in shape, with frontages to Dalby-Kogan Road (north) and Grahams Road (east), a single consolidated lot with a single land owner, held under private tenure, currently partially used for rural purposes and containing the approved Wambo Feedlot; subject to two easements including Easement C on SP118043 for electrical transmission and Easement A on RP119876. CAPACITY: 'The ultimate campus has been designed to support approximately 2,160MW of IT load (approximately 3,240MVA total facility demand) across six data buildings. Each stage incorporates three 540MVA transformers, providing continuous N+1 redundancy throughout the network.' Delivered across four stages (1A, 1B, 2A, 2B), each stage's data hall comprising 36,000 sqm of data centre floor space - 144,000 sqm across the four. NOTE the internal tension the document itself creates: the description of the development says 'four large Research and Technology Industry buildings delivered across four stages' while the capacity paragraph says 'six data buildings'. Secondary reporting said up to four buildings of 360 MW each totalling 1.44 GW of IT capacity, which does not match either. ELECTRICAL: Stage 1A connects to the existing network; substations step transmission voltage down to 33 kV; a battery storage system is integrated IN SERIES between each 33 kV incomer bus and the data building load through a dual power conversion arrangement, described as multi-purpose and supporting energy arbitrage with the network. The report states the batteries are 'an ancillary component of the development and are proposed only for the operation of the development'. CONTEXT: the site sits beside the Braemar generation hub - Braemar 1 (~504 MW) and Braemar 2 (~450 MW), fuelled by natural gas and coal seam gas - the Daandine CGPF operated by APA Group (~27.4 MW), Darling Downs Solar Farm, and is described as within one of the largest renewable energy hubs with many solar, wind and battery projects exporting to the grid. WORKFORCE: temporary workforce accommodation for up to 1,500 construction workers, a temporary hub, and a concrete batching plant operational for the duration of construction of all stages. PATHWAY: assessed under the Planning Act 2016 (Qld) as Research and Technology Industry, Workforce Accommodation and High Impact Industry, all subject to Impact Assessment; the proponent is IN PARALLEL pursuing declaration as a Prescribed Project under the State Development and Public Works Organisation Act 1971 (Qld), which would let the Coordinator-General work with local government and regulators 'to ensure that there are no unreasonable delays'. Anthropic and Zerra do not appear anywhere in the lodged document.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
SITE_CDC_CANBERRA,"CDC Canberra (Fyshwick F1-F2, Hume H1-H5)",ENT_CDC,,,,Fyshwick / Hume,,ACT,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Nine HCF Certified Strategic sites across two precincts.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_MACQ_FAIRBAIRN,Macquarie IC4 / IC5 Fairbairn (ACT),ENT_MACQUARIE_TG,,,,Fairbairn,,ACT,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_C1,NEXTDC C1 Canberra,ENT_NEXTDC,,,,Canberra,,ACT,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_EQUINIX_CA1,Equinix CA1 Canberra,ENT_EQUINIX,,,,Canberra,,ACT,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_TELSTRA_DEAKIN,Telstra Deakin Strategic Enclave (ACT),ENT_TELSTRA,,,,Deakin,,ACT,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,2.5-20 MW band.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_P12,NEXTDC P1 / P2 Perth,ENT_NEXTDC,,,,Perth,,WA,WEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Only HCF Certified Strategic facilities in WA in the directory; WA hosts 15 operational sites across the South West Interconnected System per AEMO.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_EQUINIX_PER,"Equinix Perth (PE2, PE3)",ENT_EQUINIX,,,,Perth,,WA,WEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_WA_1GW,Proposed ~1 GW WA renewable-powered data centre,,,,,,,WA,WEM,,,,rumoured,,,1000.0,,,,,,,,,,,,unknown,"Reported as a planned WA facility that at full scale could reach ~1 GW, placing it among the largest AI-focused data centres globally. No primary confirmation located - see research_gaps RG-010.",CLAIMED,SRC_WA_1GW,low,2026-09-01
SITE_NEXTDC_A1,NEXTDC A1 Adelaide,ENT_NEXTDC,,,,Adelaide,,SA,NEM,,,,operational,,,,,,,,,,,,,,,certified_strategic,Only HCF Certified Strategic facility in Adelaide in the directory.,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_NEXTDC_D1,NEXTDC D1 Darwin,ENT_NEXTDC,,,,Darwin,,NT,NT,,,,operational,,,,,,,,,,,,,,,certified_strategic,"Only HCF Certified Strategic facility in the NT; Darwin is outside the NEM (NT has its own system, and the NT dissented from the July 2026 ECMC data centre agreement).",REPORTED,SRC_CERTSTRAT,medium,2026-09-18
SITE_MS_AU_FLEET,"Microsoft Australia datacentre fleet (29 sites, 3 Azure regions)",ENT_MICROSOFT,,,,,,Multi,Multi,,,,operational,,,,,,,,,,,,,,,unknown,"Company-reported count following the A$5bn (2023) program. Site addresses, capacities and grid connection points not disclosed - see research_gaps RG-013.",CLAIMED,SRC_MS2026,high,2026-04-23
SITE_AWS_AU_FLEET,"AWS Australia (Sydney and Melbourne regions, 2025-29 build)",ENT_AWS,,,,,,Multi,Multi,,,,under_construction,,,,,,,,,,,,,,,unknown,AU$20bn commitment to 2029. Individual sites not publicly mapped - see research_gaps RG-013.,CLAIMED,SRC_AWS2025,high,2025-06-14
SITE_MSFT_KEMPS,Microsoft Kemps Creek Data Centre Campus,ENT_MICROSOFT,,,Microsoft Datacentre (Australia) Pty Ltd,Kemps Creek,Penrith,NSW,NEM,,,"707-769 Mamre Road, Kemps Creek (VPA site: Lot 2 DP 1271142, 769 Mamre Road)",operational,190.0,,,,14.43,60943.0,1300000000.0,,,,,,,,unknown,"SSD-10101987, approved 13 July 2023. See the RG-013 pack.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_MSFT_HONEMAN,Honeman Close Data Centre,ENT_MSFT_DC_AU,,,,Honeman Close (Western Sydney),Blacktown,NSW,NEM,,,,lodged,96.0,,96.0,,,,,,,,,,,,unknown,"Blacktown. In Assessment per the portal. The description references 96 MW, which is lower than any published Microsoft capacity figure for the site and should be read as one stage of a multi-stage campus rather than the total. Endorsed in NSW IDA Round 1.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_GLENDENNING,Glendenning Road Data Centre,,,,Lehr Consultants International (Australia) Pty Ltd,Glendenning,Blacktown,NSW,NEM,,,"Lot 2 DP 1137162, 2 Glendenning Road, Glendenning",approved,,235.0,235.0,,,,,,,,,,,,unknown,SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: Lehr Consultants International (Australia) Pty Ltd. Lehr Consultants International (Australia) Pty Ltd - a planning and engineering consultancy.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
SITE_NEXTDC_S4,NEXTDC S4 Data Centre Horsley Park,ENT_NEXTDC,,,NEXTDC Limited,Fairfield LGA,Fairfield City; Blacktown,NSW,NEM,,,,approved,,294.0,,,,,,,,,,,,,unknown,"SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: NEXTDC Limited. NEXTDC Limited is the Schedule 1 applicant - one of only five consents in the sample naming an identifiable operating company rather than a consultancy, trustee or single-purpose vehicle.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
SITE_NEXTDC_S5,NEXTDC S5 Data Centre and Innovation Hub,ENT_NEXTDC,,,NEXTDC Limited,Macquarie Park area,City of Ryde,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,City of Ryde. In Assessment. IDA Round 1 endorsed.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_STACK_LOCKWOOD,STACK 78 Lockwood Road Data Centre,ENT_STACK_AU,,,STACK Infrastructure Australia Pty Ltd,78 Lockwood Road (Eastern Creek corridor),Penrith City Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1. STACK is a US-headquartered hyperscale developer; this is its first named Australian project in this database.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_STOCKLAND_DAVIS,Stockland 2 Davis Road Data Centre,ENT_STOCKLAND,,,Stockland,Wetherill Park,Fairfield City Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_STOCKLAND_FIFE,Stockland Fife Kemps Creek Data Centre,ENT_STOCKLAND,,,Stockland Fife Kemps Creek,Kemps Creek,Penrith City Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1. A third Kemps Creek project alongside Microsoft's operating campus and the proposed 1 GW Mamre Road campus - the cumulative-impact question the Department directed assessment of.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_STOCKLAND_PROJA,Stockland 'Project A' Data Centre,ENT_STOCKLAND,,,Stockland,City of Ryde LGA,City of Ryde,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1 under a codename; location given only to LGA level.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_AIMS_BELLA,AIMS Bella Vista Data Centre Campus,ENT_AIMS,,,AIMS Capital Management Ltd,Bella Vista,Hills Shire Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_GOODMAN_ATLAS,Project Atlas Data Centre Eastern Creek,ENT_GOODMAN,,,Goodman Property Services (Aust) Pty Ltd,Blacktown LGA,Blacktown,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Blacktown. At Response to Submissions. Named by the NSW Government as a Goodman Property Services (Aust) Pty Ltd project in IDA Round 1.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_GSDC_SYD1S2,GreenSquare DC SYD1 (Stage 2),ENT_GSDC,,,GreenSquare DC Pty Ltd,Hills Shire LGA,Hills Shire Council,NSW,NEM,,,,lodged,,,,,,,,,,,,,,,unknown,Endorsed in NSW IDA Round 1.,VERIFIED,SRC_NSW_IDA,medium,2026-09-18
SITE_LANE_COVE_MARS,Mars Road Data Centre,ENT_LANE_COVE_ALLIANCE,,,Lane Cove DC Alliance,Lane Cove West,Lane Cove,NSW,NEM,,,"16-20 Mars Road, Lane Cove West",pre_lodgement,,,,,,,,,,,,,,,unknown,"Lane Cove. Prepare EIS. IDA Round 1 endorsed as the 'Lane Cove Data Centre Development Project' with proponent 'Lane Cove DC Alliance', which does not resolve to any entity on the Australian Business Register - suggesting an unincorporated joint venture or a trading name.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_ECHIDNA,Project Echidna Data Centre Eastern Creek,,,,ARUP Australia Pty Ltd,Eastern Creek,Blacktown,NSW,NEM,,,,approved,35.0,,35.0,,,,,,,,,,,,unknown,"SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: ARUP Australia Pty Ltd. The Schedule 1 applicant is ARUP Australia Pty Ltd - a consultancy, and a different Arup legal entity from ARUP Pty Ltd at 43-61 Turner Road. The only consent in the sample determined under delegation from the NSW Independent Planning Commission rather than the Minister (delegate Chris Ritchie, A/Executive Director, delegation executed 14 June 2022). Applicant recovered in the 2026-09-18 pypdf re-extraction (RG-065).",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
SITE_TURNER_RD,52 Turner Road Data Centre,,,,,52 Turner Road,Camden,NSW,NEM,,,,withdrawn,40.0,,40.0,,,,,,,,,,,,unknown,"CORRECTION: this record was previously entered as 'lodged' from a portal search snippet. The harvested register shows stage WITHDRAWN, in Camden LGA (not an unrecorded LGA). A 40 MW application including emergency back-up generators, cooling plant, and diesel and lithium-ion battery storage was withdrawn.",VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_PLUMPTON_HUB,Victorian AI Hub (Plumpton),ENT_SYNCLINE,,,Syncline Energy,Plumpton,City of Melton,VIC,NEM,,,,pre_lodgement,,,2400.0,,350.0,,,,,,,,,,unknown,"350 ha of farmland about 30 km north-west of the Melbourne CBD, an empty paddock adjacent to Melbourne's renewable energy hub just off the Calder Freeway, near transmission lines and under Tullamarine flight paths. Reported maximum capacity 2.4 GW across four data centre buildings, which would exceed Loy Yang A. Proponent Syncline Energy has told residents in writing that construction will not start for at least two years while planning and environmental approvals are completed. More than 3,600 people have signed a petition for careful assessment. Capacity figure is from secondary reporting and community sources and is recorded as such.",REPORTED,SRC_GUARD_PLUMPTON,medium,2026-09-18
SITE_PROJECT_DUKE,Project Duke Data Centre,,,,,,Bayside,NSW,NEM,,,,approved,,,,,,,,,,,,,,,,Codename. Bayside LGA. Approved; capacity not stated in the portal description.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_51_HUNTINGWOOD,51 Huntingwood Drive Data Centre,,,,EMKC Cubed Management Pty Ltd,,Blacktown,NSW,NEM,,,,approved,,,,,,,,,,,,,,,,"SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: EMKC Cubed Management Pty Ltd. The Schedule 1 applicant is EMKC Cubed Management Pty Ltd, a special purpose vehicle. 51 Huntingwood Drive is in the corridor where AirTrunk operates its certified SYD1 facility, and this consent carries the LARGEST installed back-up generation capacity in the sample at 632 MW. The relationship between EMKC Cubed Management and any operator is not stated in the consent - research gap RG-064.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
SITE_AUGUSTA_ST,Augusta Street Data Centre,,,,,,Blacktown,NSW,NEM,,,,withdrawn,,,,,,,,,,,,,,,,Blacktown. WITHDRAWN. One of three withdrawn data centre SSDs in the NSW register.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_EC_EXPANSION,Eastern Creek Data Centre Expansion Project,,,,,,Blacktown,NSW,NEM,,,,approved,,,,,,,,,,,,,,,,Blacktown. Approved.,VERIFIED,SRC_NSWPORTAL_REGISTER,high,2026-09-18
SITE_ROBERTS_RD,Roberts Road Data Centre,ENT_CDC,,,Canberra Data Centres Pty Ltd,,Blacktown,NSW,NEM,,,,approved,,,,,,,,,,,,,,,,"SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: Canberra Data Centres Pty Ltd. Canberra Data Centres Pty Ltd is the Schedule 1 applicant, so Roberts Road is a CDC facility. The project record also carries a document titled 'CDC Data Centres response warning letter' which is not publicly downloadable (HTTP 401) and a political donation disclosure which is public but a scanned image with no extractable text.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
SITE_STATION_RD,Station Road Data Centre Expansion,,,,Lehr Consultants International (Australia) Pty Ltd,,Blacktown,NSW,NEM,,,,approved,,,,,,,,,,,,,,,,SCHEDULE 1 APPLICANT ON THE SIGNED CONSENT: Lehr Consultants International (Australia) Pty Ltd. The Schedule 1 applicant is Lehr Consultants International (Australia) Pty Ltd - the second Lehr-held consent in the sample after Glendenning Road. Applicant recovered in the 2026-09-18 pypdf re-extraction (RG-065).,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
