id,name,jurisdiction,instrument_type,status,made,commenced,binding,summary,relevance,url,fact_status,source_id,confidence,as_of_date
LAW_EPAVIC,"Victorian EPA data centre obligations (general environmental duty, noise Publication 1826.5, Application Technical Information Requirements for Data Centres)",VIC,guideline,in_force,,,0,"Victoria requires data centre applicants to demonstrate consideration of best available technologies, including US EPA Tier 4 generators, to prohibit non-emergency use of back-up generators, and to monitor in operation. Noise is assessed under Publication 1826.5 (published 5 September 2025).",Victoria's generator regime is materially stricter than the NSW Group 6 / 200-hour position on non-emergency use. This asymmetry drives siting arbitrage between states and should be a standing column in the Observatory's comparison table.,https://www.epa.vic.gov.au/data-centres,VERIFIED,SRC_EPAVIC,high,2026-09-18
LAW_HCF,Hosting Certification Framework (Whole-of-Government Hosting Strategy),Commonwealth,code,in_force,,,0,Administered by the Digital Transformation Agency. Certified Strategic is the highest designation and is required for sensitive and PROTECTED government workloads. 60 Certified Strategic facilities and enclaves are operated by 13 providers.,The only existing Australian mechanism that ties a facility to sovereign government workload - and therefore the closest thing to a domestic compute allocation requirement currently in force.,,REPORTED,SRC_CERTSTRAT,medium,2026-09-18
LAW_NSW_INQUIRY,NSW Legislative Council Inquiry into Data Centres,NSW,inquiry,in_force,2026-01-29,,0,"Self-referred 29 January 2026; submissions opened 4 February and closed 27 March 2026; public hearings in Sydney from 29 May 2026; terms of reference updated 5 August 2026. Transgrid's Executive General Manager told the inquiry that existing regulatory arrangements were not designed for this level of large, clustered load growth.",The principal public evidence base for Pillars C and D. Every submission is a citable primary document and should be systematically ingested.,https://www.parliament.nsw.gov.au/committees/inquiries/Pages/inquiry-details.aspx?pk=3169,VERIFIED,SRC_NSWINQ,high,2026-09-18
LAW_IPART_WATER,IPART review of water pricing for data centres (NSW),NSW,inquiry,announced,2026-08-17,,0,Aimed at ensuring water users on the network are protected and that the impacts of drought and water scarcity are appropriately managed.,Will determine whether data centres pay the full long-run marginal cost of water or are cross-subsidised by household users.,,REPORTED,SRC_ABCNSW26,high,2026-09-18
LAW_TRANSGRID_NCAP,Transgrid Network Capacity Allocation Policy,NSW,policy_expectation,in_force,,,0,"Applies to any relevant large load, meaning an inverter-based load greater than or equal to 30 MW or 30 MVA. Network capacity is allocated only on signature of a Network Connection Agreement, via either a conditional NCA before performance standards are agreed or a full NCA afterwards. Allocated capacity remains valid only if planning criteria are satisfied within three months of signing.",This is the mechanism that kills phantom demand. It is the single most effective existing control on speculative connection hoarding in the NEM and should be the model for a national rule.,https://www.transgrid.com.au/media/r0zjfiym/transgrid-network-capacity-allocation-policy-1.pdf,VERIFIED,SRC_TRANSGRIDCAP,high,2026-09-18
LAW_AI_STANDARD,"National AI Standard (proposed legislation, Commonwealth)",Commonwealth,bill,announced,2026-07-15,,0,Would set clear rules for large data centres on where they are built and the power and water they use; legislation flagged for introduction in early 2027. Delivered through the new Office of AI in PM&C.,The instrument that would make the March 2026 Expectations binding. Watch for the draft bill.,,REPORTED,SRC_REUTERS_AI,medium,2026-09-18
LAW_VIC_STRATEGY,"Victorian Data Centre Strategy (consultation paper, March 2026) and fast-track process for priority projects",VIC,strategy,consultation,2026-03,,0,"Used to fast-track priority projects, including $51.9bn of data centre investment. Victoria's fast-track application process is reported to reduce approvals to about three months.","Speed-over-conditionality risk: compare Victoria's three-month fast track with the NSW 75-day pathway, which at least attaches 17 performance measures.",,REPORTED,SRC_CEC,medium,2026-09-18
LAW_VIC_DFP,"Development Facilitation Program, Part 9A of the Planning and Environment Act 1987 (Vic)",VIC,act,in_force,,,1,"Victoria's mechanism for expediting state significant and strategically important development, including data centres. Available where construction cost exceeds $10m in regional Victoria or $20m in metropolitan Melbourne - thresholds that modern data centres routinely exceed, so the DFP is effectively available for all significant proposals. Under the DFP the application is lodged directly with the Minister for Planning, bypassing the local council as responsible authority; the Minister may waive or vary planning scheme requirements; decisions cannot be appealed to VCAT by either applicant or objector; and there are no review rights over conditions in Ministerial permits. Only judicial review on jurisdictional error, procedural unfairness or legal unreasonableness remains. Victoria's Sustainable Data Centre Action Plan expressly supports data centre access to the DFP.","THE STRONGEST FAST-TRACK IN AUSTRALIA, AND THE ONE WITH THE FEWEST CHECKS. Compare: the NSW 75-day pathway attaches 17 performance measures and the consent still issues through a publicly exhibited SSD process with submissions and an EPA advice; the NSW IDA endorsement is coordination, not determination. The Victorian DFP removes the decision maker with local knowledge, removes third-party objection as a determinant, removes merits appeal and removes conditions review. This is the concrete, documented answer to the brief's 'unconditional subsidies' concern: the subsidy is jurisdictional, and it is paid for in accountability. Practitioner advice to developers is to treat the DFP as the default pathway.",,REPORTED,SRC_GADENS_VIC,high,2026-09-18
LAW_VIC_EPA2017,Environment Protection Act 2017 (Vic) and Environment Protection Regulations 2021 (Vic),VIC,regulation,in_force,,,1,"Prescribe when environmental permissions, permits and licences are required for commercial, industrial and trade premises. The Regulations do NOT specifically identify a data centre as a prescribed activity requiring an EPA permission, permit or licence, but activities associated with data centre operation may trigger requirements - noise emissions, contamination risks, waste management, diesel fuel storage and back-up generation systems. There is no standard EPA permission that applies to every data centre development; planning permit applications commonly include a site-specific EPA assessment or environmental management component.","Explains why Victoria can require US EPA Tier 4 generators, prohibit non-emergency use and require monitoring through guidance and permit conditions rather than through a licence regime - and why the obligation varies site by site. It also means there is no single Victorian register of data centre environmental permissions to harvest, which is why RG-008 is harder in Victoria than in NSW.",,REPORTED,SRC_GADENS_VIC,high,2026-09-18
LAW_QLD_SDPWO,State Development and Public Works Organisation Act 1971 (Qld) - Prescribed Project declaration and Coordinator-General powers,QLD,act,in_force,,,1,"Allows a project of significant economic and social importance to Queensland or the region to be declared a Prescribed Project, which enables the Coordinator-General to work with local government, regulators and the proponent through the approvals process 'to ensure that there are no unreasonable delays'. Application processes under the Planning Act remain unchanged unless the Coordinator-General issues a notice under the Act.","The Western Downs Digital Park proponent is pursuing this declaration IN PARALLEL with the council application. It is Queensland's equivalent of the NSW Investment Delivery Authority and the Victorian Development Facilitation Program, but with an important difference: on the face of the application it coordinates and expedites without removing the assessment manager or appeal rights, whereas the Victorian DFP removes both. Whether a notice is ultimately issued is the thing to watch, because that is where coordination becomes override.",https://www.legislation.qld.gov.au/view/html/inforce/current/act-1971-051,VERIFIED,SRC_WDDP_TPR,high,2026-09-18
LAW_QLD_PLANNING,"Planning Act 2016 (Qld) - Impact Assessment for Research and Technology Industry, Workforce Accommodation and High Impact Industry",QLD,act,in_force,,,1,"The Western Downs Digital Park application is assessed under the Planning Act 2016 (Qld) against the Western Downs Regional Planning Scheme. The proposed Research and Technology Industry, Workforce Accommodation and High Impact Industry uses are all subject to Impact Assessment, which carries notification and submission rights. Referral is required under Schedule 10 of the Planning Regulation, and the State Planning Policy (3 July 2017) state interest matters are engaged. Western Downs Regional Council is the assessment manager.","Queensland has no data-centre-specific classification - Gadens records that data centres are assessed by analogy to 'industry' or 'research and technology' uses, which is why this application is framed as Research and Technology Industry plus High Impact Industry plus Workforce Accommodation. That definitional absence matters: it means no Queensland instrument currently attaches data-centre-specific performance measures to a 2,160 MW facility, and Queensland dissented from the July 2026 ECMC renewable-offsetting agreement.",,VERIFIED,SRC_WDDP_TPR,high,2026-09-18
LAW_SENATE_AI_DC,Senate Environment and Communications References Committee inquiry into Artificial intelligence and data centres,Commonwealth,inquiry,in_force,2026-05-13,,0,"Referred 13 May 2026; submissions closed 1 September 2026; 116 received; reporting date 16 November 2026. Terms of reference: (1) the effectiveness of existing regulatory frameworks in managing the growth of data centres in Australia, including in relation to existing and future deals between the Government and global Artificial Intelligence companies; (2) the potential impacts of AI and data centres on Australian communities, industries and the environment, water and energy; (3) any other related matters.","The national-level counterpart to the NSW inquiry, and the only Australian process whose terms expressly reach the commercial deals between the Government and global AI companies - which is where the OpenAI/NEXTDC S7 and reported Anthropic/Western Downs arrangements sit. Reports 16 November 2026, thirteen days after the NSW committee's 3 November deadline, so the two together are the near-term endpoint of the Australian policy cycle this database tracks.",https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Environment_and_Communications/AIdatacentres48P,VERIFIED,SRC_SENATE_AI_DC,high,2026-09-18
